Experiment ID,26524.0,
Experiment name,"Flavin-based yeast metabolic oscillations, zwf1Δ, 10 g/L glucose, experiment ID IS20016",
Job,2d74efe3-febd-45e8-a3b9-c806d89aa2b0,
Method,BD2 eJTK,
Submitted,2023-09-22T10:21:30.888178924,Finished,2023-09-22T10:21:39.358837508,
NULL_SIZE,100000,
DW_END,0.0,
PERIOD_MIN,24.0,
DATA_SET_ID,26524_LIN_DTR,
PERIOD_MAX,24.0,
DW_START,0.0,
PRESET,EJTK_CLASSIC,
METHOD,BD2EJTK,
DATA_SET_TYPE_NAME,linear dtr,
PARAMS_SUMMARY,linear dtr min-max p(24.0),
DATA_SET_TYPE,LIN_DTR,


Individual Results,

Data Id,Data Label,,tau,emp p,emp p BH Corrected,Pattern Shape,Pattern Period,Pattern Peak,P. Trough,P. Circ. Peak,P. Circ. Trough,P. Width,P. Asym,,JTK p from tau,JTK p BH Corrected,bf corrected JTK p,BH bf corrected p,
1,zwf1egf,,0.10744322139419205,0.3991960080399196,0.49607691057592346,ACOS,24.0,10.0,10.0,10.0,10.0,24.0,0.0,,0.020888171803036856,0.025957523439446385,1.6292774006368749,1.0,
2,zwf1egf,,0.39449872539257996,9.99990000099999E-6,6.538396154499993E-5,ACOS,24.0,18.0,12.0,18.0,12.0,24.0,0.25,,3.871341075847291E-14,1.1752285408822133E-12,3.0196460391608867E-12,9.166782618881263E-11,
3,zwf1egf,,0.11646050455529777,0.2986170138298617,0.40162098379016214,ACOS,24.0,10.0,10.0,10.0,10.0,24.0,0.0,,0.013671255158921211,0.018386972919435172,1.0663579023958545,1.0,
4,zwf1egf,,0.254873765665681,7.999920000799993E-5,4.197488889308638E-4,ACOS,24.0,20.0,12.0,20.0,12.0,24.0,0.33,,6.856621034177307E-7,3.6425799244066945E-6,5.3481644066583E-5,2.8412123410372217E-4,
5,zwf1egf,,0.11204555961088364,0.3459765402345977,0.44557584727183036,ACOS,24.0,4.0,4.0,4.0,4.0,24.0,0.0,,0.016879340056506893,0.021738544012167967,1.3165885244075377,1.0,
6,zwf1egf,,0.10713755077856134,0.4027359726402736,0.49901687572045567,ACOS,24.0,10.0,10.0,10.0,10.0,24.0,0.0,,0.021180827361666363,0.026244465389819838,1.6521045342099763,1.0,
7,zwf1egf,,0.35259625888034146,9.99990000099999E-6,6.538396154499993E-5,ACOS,24.0,8.0,22.0,8.0,22.0,24.0,0.42,,1.1891068560528736E-11,1.9437323608556587E-10,9.275033477212415E-10,1.516111241467414E-8,
8,zwf1egf,,0.2901839687047988,9.99990000099999E-6,6.538396154499993E-5,ACOS,24.0,10.0,18.0,10.0,18.0,24.0,0.67,,1.918928294180204E-8,1.3369582377485028E-7,1.496764069460559E-6,1.042827425443832E-5,
9,zwf1egf,,0.12398284334522613,0.22815771842281576,0.32569221287652894,ACOS,24.0,16.0,12.0,16.0,12.0,24.0,0.17,,0.009408927704677475,0.013428534550126391,0.7338963609648431,1.0,
10,zwf1egf,,0.11650559730250848,0.2979570204297957,0.40162098379016214,ACOS,24.0,2.0,22.0,2.0,22.0,24.0,0.17,,0.01364141166613845,0.018386972919435172,1.0640301099587992,1.0,
