position,trap,cell_label,0
htb2mCherry_001,4,5,0
htb2mCherry_001,13,1,1
htb2mCherry_001,19,1,1
htb2mCherry_001,20,8,0
htb2mCherry_001,32,1,0
htb2mCherry_001,34,1,0
htb2mCherry_001,37,1,0
htb2mCherry_001,45,2,0
htb2mCherry_001,46,2,0
htb2mCherry_001,47,1,1
htb2mCherry_001,48,1,0
htb2mCherry_001,49,5,0
htb2mCherry_001,51,1,0
htb2mCherry_001,58,1,0
htb2mCherry_001,67,1,0
htb2mCherry_001,70,1,1
htb2mCherry_001,73,1,1
htb2mCherry_001,74,2,0
htb2mCherry_001,79,2,1
htb2mCherry_001,83,1,1
htb2mCherry_001,85,1,1
htb2mCherry_001,87,1,1
htb2mCherry_001,94,2,0
htb2mCherry_002,4,1,1
htb2mCherry_002,22,1,1
htb2mCherry_002,26,1,0
htb2mCherry_002,35,1,0
htb2mCherry_002,36,1,1
htb2mCherry_002,40,1,1
htb2mCherry_002,41,2,0
htb2mCherry_002,56,1,1
htb2mCherry_002,58,5,0
htb2mCherry_002,61,1,0
htb2mCherry_002,63,2,1
htb2mCherry_002,65,1,1
htb2mCherry_002,78,7,0
htb2mCherry_002,80,1,0
htb2mCherry_002,82,1,0
htb2mCherry_002,83,2,1
htb2mCherry_002,85,2,1
htb2mCherry_002,87,1,0
htb2mCherry_002,89,2,0
htb2mCherry_002,90,31,0
htb2mCherry_002,93,2,0
htb2mCherry_003,7,1,0
htb2mCherry_003,17,1,1
htb2mCherry_003,20,1,0
htb2mCherry_003,27,1,0
htb2mCherry_003,50,2,0
htb2mCherry_003,59,1,0
htb2mCherry_003,62,1,1
htb2mCherry_003,69,1,0
htb2mCherry_003,76,1,1
htb2mCherry_003,93,1,0
htb2mCherry_004,2,12,0
htb2mCherry_004,3,1,0
htb2mCherry_004,8,10,0
htb2mCherry_004,11,6,0
htb2mCherry_004,15,2,0
htb2mCherry_004,21,1,0
htb2mCherry_004,22,1,1
htb2mCherry_004,26,1,0
htb2mCherry_004,29,1,1
htb2mCherry_004,32,1,0
htb2mCherry_004,40,1,1
htb2mCherry_004,45,1,0
htb2mCherry_004,46,1,0
htb2mCherry_004,48,18,0
htb2mCherry_004,56,5,0
htb2mCherry_004,56,6,0
htb2mCherry_004,59,3,0
htb2mCherry_004,70,1,0
htb2mCherry_004,71,3,0
htb2mCherry_004,74,1,1
htb2mCherry_004,80,1,0
htb2mCherry_004,81,1,1
htb2mCherry_004,85,1,0
htb2mCherry_004,93,14,0
htb2mCherry_004,95,1,0
htb2mCherry_004,97,4,1
htb2mCherry_004,98,1,1
htb2mCherry_004,103,1,1
htb2mCherry_004,104,1,1
htb2mCherry_004,107,5,0
htb2mCherry_005,2,1,1
htb2mCherry_005,5,2,0
htb2mCherry_005,12,1,1
htb2mCherry_005,14,1,1
htb2mCherry_005,14,4,0
htb2mCherry_005,16,1,1
htb2mCherry_005,18,1,0
htb2mCherry_005,19,1,0
htb2mCherry_005,24,1,0
htb2mCherry_005,25,2,1
htb2mCherry_005,29,2,0
htb2mCherry_005,30,1,1
htb2mCherry_005,31,1,0
htb2mCherry_005,32,1,0
htb2mCherry_005,33,1,0
htb2mCherry_005,36,2,1
htb2mCherry_005,37,2,0
