Featurisation,Fold,Measure,Value
Time series,0,Precision,0.7690196078431374
Time series,0,Recall,0.7529411764705882
Time series,1,Precision,0.7067226890756302
Time series,1,Recall,0.7058823529411765
Time series,2,Precision,0.7368753953194181
Time series,2,Recall,0.7294117647058823
Time series,3,Precision,0.8119359725973254
Time series,3,Recall,0.8117647058823529
Time series,4,Precision,0.6954398617684622
Time series,4,Recall,0.6823529411764706
Fourier spectrum,0,Precision,0.8117647058823529
Fourier spectrum,0,Recall,0.8117647058823529
Fourier spectrum,1,Precision,0.7681660899653979
Fourier spectrum,1,Recall,0.7647058823529411
Fourier spectrum,2,Precision,0.788235294117647
Fourier spectrum,2,Recall,0.788235294117647
Fourier spectrum,3,Precision,0.8023255813953488
Fourier spectrum,3,Recall,0.8
Fourier spectrum,4,Precision,0.8006756756756757
Fourier spectrum,4,Recall,0.8
catch22,0,Precision,0.776437908496732
catch22,0,Recall,0.7764705882352941
catch22,1,Precision,0.7681660899653979
catch22,1,Recall,0.7647058823529411
catch22,2,Precision,0.8612778444711219
catch22,2,Recall,0.8588235294117647
catch22,3,Precision,0.7894599700345255
catch22,3,Recall,0.788235294117647
catch22,4,Precision,0.7787766269298417
catch22,4,Recall,0.7764705882352941
Scrambled labels,0,Precision,0.47101166047814474
Scrambled labels,0,Recall,0.47058823529411764
Scrambled labels,1,Precision,0.4919515103338633
Scrambled labels,1,Recall,0.49411764705882355
Scrambled labels,2,Precision,0.5364749348015069
Scrambled labels,2,Recall,0.5411764705882353
Scrambled labels,3,Precision,0.5294117647058824
Scrambled labels,3,Recall,0.5294117647058824
Scrambled labels,4,Precision,0.5017301038062284
Scrambled labels,4,Recall,0.5058823529411764
